Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10233388,Uccle,HOUSE,HOUSE,1295000.0,BUY_REGULAR,4.0,290.0,1,None,0,1,15,None,None,230,2,0,GOOD
10311296,Woluwe-Saint-Pierre,APARTMENT,APARTMENT,150000.0,PUBLIC_SALE,2.0,65.0,0,None,0,1,None,None,None,None,None,None,None
10310451,Anderlecht,APARTMENT,APARTMENT,357500.0,BUY_REGULAR,3.0,119.0,0,None,0,1,16,None,None,None,4,None,
10309870,Uccle,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,2.0,140.0,0,None,0,None,None,None,None,None,2,None,TO_BE_DONE_UP
10309546,Uccle,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,1.0,61.0,0,None,0,1,2,None,None,None,2,None,
10308639,Berchem-Sainte-Agathe,HOUSE,HOUSE,485000.0,BUY_REGULAR,3.0,235.0,0,None,0,None,None,1,100,200,2,0,TO_BE_DONE_UP
10307653,SINT-GILLIS,HOUSE,HOUSE,595000.0,BUY_REGULAR,7.0,276.0,0,None,0,None,None,1,None,0,2,None,TO_BE_DONE_UP
10306812,Forest,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,2.0,87.0,None,None,0,1,15,None,None,None,2,None,TO_BE_DONE_UP
10305775,Uccle,HOUSE,HOUSE,386000.0,BUY_REGULAR,3.0,100.0,None,None,0,None,None,None,None,0,2,0,
10305006,Brussels City,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,2.0,72.0,0,None,0,1,4,None,None,,4,None,
10304071,Jette,HOUSE,HOUSE,515000.0,BUY_REGULAR,5.0,172.0,0,None,0,1,None,1,90,90,2,0,AS_NEW
10303386,Schaerbeek,APARTMENT,APARTMENT,189000.0,BUY_REGULAR,2.0,80.0,0,None,0,1,6,None,None,None,2,0,TO_BE_DONE_UP
10311792,Woluwe-Saint-Pierre,APARTMENT,APARTMENT,860000.0,BUY_REGULAR,3.0,,1,None,0,1,11,None,None,None,3,0,AS_NEW
10311788,Jette,APARTMENT,APARTMENT,259000.0,BUY_REGULAR,2.0,105.0,1,None,0,1,3,None,None,None,2,0,GOOD
10310449,Anderlecht,APARTMENT,APARTMENT,355000.0,BUY_REGULAR,3.0,119.0,0,None,0,1,16,None,None,None,4,None,
10309859,BRUXELLES,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10309817,Neder-over-Heembeek,APARTMENT,PENTHOUSE,150000.0,BUY_REGULAR,1.0,41.0,0,None,0,1,None,None,None,None,2,None,TO_RENOVATE
10258476,Anderlecht,APARTMENT,APARTMENT,245000.0,BUY_REGULAR,2.0,,None,None,0,None,None,None,None,None,,0,
10307571,BRUXELLES,APARTMENT,FLAT_STUDIO,149500.0,BUY_REGULAR,0.0,21.0,0,None,0,None,None,None,None,None,2,None,
10307546,MOLENBEEK-SAINT-JEAN,APARTMENT,GROUND_FLOOR,109000.0,BUY_REGULAR,1.0,40.0,None,None,0,1,None,1,15,None,2,None,TO_RENOVATE
10305735,Berchem-Sainte-Agathe,APARTMENT,APARTMENT,189000.0,BUY_REGULAR,2.0,77.0,0,None,0,1,3,None,None,None,2,None,
10304978,Brussels City,APARTMENT,APARTMENT,175000.0,BUY_REGULAR,1.0,33.0,0,None,0,None,None,None,None,None,4,0,GOOD
